sensor-manufacturer,sensor-name,sensor-name-friendly,effective-focal-length,focal-length,sensor-pix-x,sensor-pix-y,sensor-pix-size,sensor-width,sensor-height,sensor-diagonal,sensor-area,sensor-format,sensor-mp,sensor-aspect,sensor-crop-factor,lens-hfov,lens-vfov,lens-dfov,lens-dof,lens-cof,lens-image-circle,subject-distance,distortion-type,brown3-radial1,brown3-radial2,brown3-radial3,principal-pix-x,principal-pix-y,,,
Manufacturer,Sensor part number,Sensor name,Effective focal length,35mm focal length,Sensor X pixel count,Sensor Y pixel count,Sensor pixel size (μm),Sensor width (mm),Sensor height (mm),Sensor diagonal (mm),Sensor area (mm²),Sensor format,Sensor MP,Sensor aspect ratio,Sensor crop factor,Lens horizontal FOV,Lens vertical FOV,Lens diagonal FOV,Lens depth of field,Lens circle of confusion,Lens image circle dia.,Subject distance (m),Radial distortion type,Brown 3 radial 1,Brown 3 radial 2,Brown 3 radial 3,Principal point X,Principal point Y,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
,,,0.1,0.1,100,100,0.1,0.5,0.5,0.5,1,,0.5,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,,0.05,0.05,0.05,1,1,,,
,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,
text,value,step,calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Focal length multiplier,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS;Canon,APS-H,High Definition,,,,,,27.9,18.6,,,,,,,,,,,,,,,,,,,,,,
APS,APS-P,Panoramic,,,,,,30.2,9.5,,,,,,,,,,,,,,,,,,,,,,
Sony,IMX376,,2.35,,,,,,,,,1/1.8”,20,,,,,,,,,,,,,,,,,,
Omnivision,OV13850,,2.35,,4224,3136,,,,,,1/2.78”,13,,,,,,,,,,,,,,,,,,
Sony,IMX363,,,16,,,1.4,,,7.05,,1/2.55”,12.2,,,,,,,,,,,,,,,,,,
Omnivision,BF314ACS,,1.7,,1280,800,,,,,,1/4”,1,,,,,,,,,,,,,,,,,,
Samsung,S5KHMX,ISOCELL HMX,,,12032,9024,0.8,,,,,1/1.33”,108,,,,,,,,,,,,,,,,,,
Sony,IMX455,,,,9602,6498,3.76,40.961,31.108,43.3,,2.7”,61.17,,,,,,,,,,,,,,,,,,
Sony,IMX557,,,24,,,1.8,,,,,1/1.76”,12.19,,,,,,,,,,,,,,,,,,
Sony,IMX503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony,IMX603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony,IMX703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,S5KGN1,ISOCELL GN1,,,,,,,,,,,,,,,,,,,,,,,,,,,1589871600,,
Sony,IMX458,,,,4224,3192,1.12,5.99,3.908,5.867,,1/3.06”,13.13,,,,,,,,,,,,,,,,,,
Sony,IMX650-12,,,125,,,1,,,,,1/3.5”,12,,,,,,,,,,,,,,,,,,
Sony,IMX563,,,16,,,,,,,,1/2.55”,12,,,,,,,,,,,,,,,,,,
Sony,IMX316,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,
Sony,IMX663,,,20,,,1,,,,,1/2.9”,12,,,,,,,,,,,,,,,,,,
Samsung,S5K3T2,ISOCELL 3T2,,70,,,1,,,,,1/3.4”,12.2,,,,,,,,,,,,,,,,,,
Samsung,S5K4H7,ISOCELL 4H7,,24,,,1,,,,,1/4”,8,,,,,,,,,,,,,,,,,,
Sony,IMX650-40,,,,,,,,,,,1/1.7”,40,,,,,,,,,,,,,,,,,,
Sony,IMX265,,,,2064,1544,3.45,,,8.9,,1/1.8”,3.19,,,,,,,,,,,,,,,,,,
Sony,IMX264,,,,2464,2056,3.45,,,11.1,,,5.07,,,,,,,,,,,,,,,,,,
Sony,IMX678,,,,3856,2180,2,26.5,26.5,,,1/1.8”,8.3,,,,,,,,,,,,,,,,,,
Samsung,S5KGN3,ISOCELL GN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,S5K3L6,ISOCELL 3L6,1.7,13,4000,3000,1.12,,,,,1/3.02”,12,,,,,,,,,,,,,,,,4208,3120,
Samsung,S5KGD2,ISOCELL GD2,,,4032,3024,1.4,,,7.06,,1/2.4”,12.2,,,,,,,,,,,,,,,,,,
Samsung,S5KGN2,ISOCELL GN2,,,8160,6144,1.4,,,14.28,,1/1.18”,50,,,,,,,,,,,,,,,,,,
